Sim(Core)	Lobe	B Band	LogM 	R_Index	LogRF
41.8	41.3	48.8	8.4	0.56	0.46
40.7	40.5	47.4	7.6	0.99	0.24
39.3	38.9	44.1	8.2	2.80	0.43
45.9	43.8	51.2	8.4	2.30	2.04
48.6	48.1	54.7	7.7	1.54	0.54
38.9	38.7	46.1	7.6	0.41	0.23
35.4	35.0	41.0	8.1	2.01	0.39
38.8	38.4	45.0	9.4	1.42	0.43
46.2	45.7	53.7	9.2	0.19	0.51
39.6	39.2	48.1	8.9	-0.83	0.44
35.9	35.5	41.6	8.9	1.95	0.40
45.8	45.6	50.0	8.2	3.45	0.25
38.0	38.0	44.9	7.8	0.72	0.05
42.5	42.0	49.1	8.5	0.99	0.47
40.2	39.7	48.0	6.8	-0.19	0.44
39.9	39.5	45.9	9.2	1.57	0.44
46.2	44.9	54.5	8.9	-0.62	1.37
40.1	40.1	46.0	10.3	1.69	0.02
33.6	33.2	39.7	8.7	1.43	0.37
32.1	31.8	37.2	7.8	2.57	0.35
38.7	38.2	43.0	9.9	3.25	0.43
38.4	38.0	42.8	8.4	3.30	0.42
40.4	39.6	44.0	8.8	4.08	0.78
37.3	36.9	44.6	7.9	0.41	0.41
39.0	38.5	44.8	8.4	1.78	0.43
25.3	25.1	29.6	7.3	3.34	0.28
43.7	43.2	51.9	8.7	-0.66	0.48
41.5	41.0	46.4	7.5	2.68	0.46
33.9	33.5	39.0	8.5	2.55	0.37
48.7	48.2	55.0	8.1	1.39	0.54
41.6	41.2	48.8	8.7	0.43	0.46
32.2	31.8	37.7	8.4	2.08	0.35
37.2	36.7	42.1	8.8	2.68	0.41
38.8	38.3	44.3	7.7	2.09	0.43
45.3	44.8	50.9	9.0	1.93	0.50
46.3	45.8	53.0	7.1	0.86	0.51
36.9	36.5	42.7	8.8	1.79	0.41
45.4	44.9	48.7	8.8	4.23	0.50
40.3	39.9	45.3	8.2	2.65	0.44
33.2	32.7	39.8	6.4	0.99	0.44
49.8	49.3	57.8	9.2	-0.37	0.55
39.0	38.6	44.0	8.7	2.60	0.43
40.2	39.8	46.0	7.5	1.85	0.44
39.8	36.4	45.9	8.4	1.50	3.41
37.9	37.5	43.1	7.5	2.46	0.42
32.3	31.9	35.0	7.9	4.84	0.36
39.5	39.1	46.8	7.9	0.34	0.44
46.8	46.3	55.8	7.9	-1.34	0.52
38.3	37.9	46.1	8.0	-0.19	0.42
45.3	44.8	53.6	8.6	-0.71	0.50
43.5	43.0	50.1	7.0	0.99	0.48
52.5	51.9	59.8	8.3	0.27	0.58
40.2	39.8	47.7	7.7	0.11	0.44
43.9	43.4	50.2	8.9	1.32	0.48
37.3	36.9	44.0	8.2	0.85	0.41
43.5	43.0	48.2	8.5	2.93	0.48
37.6	37.2	44.7	7.9	0.59	0.41
36.8	36.4	41.6	7.8	2.76	0.41
32.1	31.8	38.9	8.9	0.86	0.35
46.1	45.6	52.0	8.0	1.76	0.51
34.8	34.5	40.4	7.4	2.04	0.38
31.9	31.5	37.9	7.3	1.58	0.35
46.6	46.1	52.9	8.2	1.36	0.51
31.8	31.4	37.3	8.3	2.07	0.35
36.4	36.0	38.4	9.0	5.66	0.40
39.9	39.5	43.8	9.2	3.71	0.44
39.4	39.0	46.1	6.9	0.91	0.43
44.3	43.9	52.3	7.1	-0.37	0.49
37.6	37.2	44.5	7.9	0.76	0.41
38.7	38.3	45.6	9.1	0.74	0.43
40.1	39.7	45.1	7.8	2.65	0.44
40.1	39.6	46.9	8.0	0.77	0.44
26.2	25.9	27.9	7.9	5.95	0.29
48.0	47.5	55.7	8.6	-0.13	0.53
35.8	35.4	42.5	9.2	0.89	0.39
36.2	35.8	42.3	8.1	1.50	0.40
29.5	29.3	35.2	8.9	1.94	0.23
42.9	42.1	50.2	8.2	0.32	0.85
41.5	41.1	48.4	8.0	0.72	0.46
44.6	44.1	53.3	8.1	-1.12	0.49
34.3	33.9	40.4	8.3	1.47	0.38
36.4	36.0	41.3	8.4	2.73	0.40
47.1	46.6	56.0	8.3	-1.27	0.52
26.5	26.2	30.1	8.1	3.93	0.29
44.4	43.9	52.9	8.0	-0.93	0.49
40.9	35.2	45.7	9.0	2.77	5.66
36.8	36.4	43.3	7.1	1.13	0.41
37.9	37.4	43.6	8.2	1.94	0.51
40.2	39.7	46.1	7.9	1.74	0.44
43.0	42.5	49.8	8.0	0.83	0.47
37.8	37.4	42.4	7.6	3.01	0.42
50.5	50.0	59.7	8.8	-1.55	0.56
40.8	39.5	48.3	8.8	0.13	1.38
46.5	46.0	54.4	10.1	-0.26	0.51
42.4	42.0	46.7	8.4	3.38	0.47
33.7	33.3	42.8	7.7	-1.48	0.37
43.3	42.8	48.0	7.7	2.93	0.48
42.6	42.1	50.5	7.5	-0.34	0.47
32.0	31.7	37.9	8.6	1.81	0.35
46.4	45.9	51.2	8.3	2.79	0.51
35.5	35.1	40.0	7.5	3.13	0.39
26.9	26.6	33.5	6.5	1.01	0.30
38.7	38.3	44.0	8.7	2.31	0.43
38.4	38.0	45.1	7.6	0.92	0.42
35.0	34.6	35.6	7.2	7.02	0.39
46.7	46.2	55.0	8.1	-0.63	0.51
35.7	35.3	40.0	7.8	3.34	0.39
48.1	47.6	55.2	8.7	0.54	0.53
47.6	47.1	57.4	8.8	-2.25	0.52
40.3	39.9	48.3	8.4	-0.36	0.44
29.6	29.3	35.6	7.9	1.63	0.33
43.5	43.0	50.2	7.7	0.95	0.48
31.5	31.1	35.6	7.3	3.48	0.35
39.9	39.4	46.3	8.3	1.22	0.44
40.1	39.6	47.7	7.6	0.00	0.44
45.7	45.2	53.3	8.3	0.01	0.50
32.3	32.0	36.9	8.0	3.03	0.36
34.0	33.6	42.1	8.2	-0.49	0.37
40.6	39.9	46.3	7.4	1.96	0.72
33.6	33.2	39.8	9.2	1.46	0.37
46.8	46.3	56.5	8.4	-2.08	0.52
44.0	43.5	48.9	8.3	2.70	0.48
41.1	40.6	49.0	7.9	-0.36	0.45
36.2	35.8	41.4	6.0	2.37	0.40
43.2	42.7	50.0	7.7	0.74	0.48
41.6	41.1	49.8	7.7	-0.60	0.46
32.8	32.5	38.7	8.1	1.72	0.36
42.5	42.1	52.1	9.7	-2.00	0.47
34.6	34.2	37.9	7.6	4.25	0.38
46.0	45.5	54.2	8.6	-0.57	0.51
47.3	46.8	57.4	8.2	-2.55	0.52
47.9	47.3	55.5	8.0	-0.05	0.53
29.8	29.5	34.9	7.0	2.46	0.33
32.5	32.3	38.2	10.5	1.96	0.22
42.9	42.4	49.4	7.4	1.12	0.47
55.3	54.7	63.1	7.8	-0.16	0.61
33.4	33.0	40.1	7.7	0.82	0.37
35.1	34.8	42.4	8.0	0.36	0.39
36.6	36.2	43.2	8.6	1.02	0.40
45.3	42.8	51.9	6.2	1.08	2.52
39.2	38.8	44.8	9.6	1.97	0.43
35.0	34.7	43.0	8.1	-0.39	0.39
39.9	39.5	44.7	8.9	2.84	0.44
43.2	42.8	49.7	8.0	1.20	0.48
37.3	36.9	44.9	9.4	0.09	0.41
30.0	29.7	34.5	7.2	3.11	0.33
31.8	31.5	37.2	8.2	2.26	0.35
40.7	40.2	47.1	7.9	1.21	0.45
42.7	42.3	49.7	8.5	0.65	0.47
42.6	42.2	50.6	8.4	-0.33	0.47
45.5	45.0	53.1	9.2	0.01	0.50
35.1	34.7	38.2	8.1	4.44	0.39
34.0	33.6	40.4	9.5	1.25	0.37
41.3	40.9	48.8	8.4	0.08	0.42
34.5	34.2	42.4	8.4	-0.23	0.38
