Sim(Core)	Lobe	B Band	LogM 	R_Index	LogRF
40.5	40.0	43.7	8.8	1.87	0.45
41.7	41.2	46.3	8.4	0.57	0.46
42.8	42.3	48.8	7.9	-0.88	0.47
38.7	38.3	42.2	7.7	1.64	0.43
40.0	39.5	44.9	7.3	0.19	0.45
38.8	38.3	41.6	8.3	2.34	0.43
37.9	37.5	41.1	7.6	1.99	0.42
39.9	39.4	43.3	8.3	1.67	0.44
40.0	39.6	44.1	8.0	1.07	0.44
42.6	42.1	48.0	8.2	-0.31	0.47
44.1	43.2	51.7	7.4	-2.44	0.97
39.7	39.3	41.9	9.2	2.93	0.44
39.1	38.7	42.0	8.4	2.23	0.43
38.4	38.0	41.0	8.3	2.56	0.42
39.9	39.4	44.0	7.9	1.04	0.44
41.7	41.2	49.5	6.0	-2.65	0.46
36.5	36.1	38.5	7.7	3.13	0.40
41.7	41.3	47.3	7.7	-0.42	0.46
40.4	40.0	44.5	8.1	1.02	0.44
45.5	45.0	50.9	9.7	-0.21	0.50
38.7	38.3	42.4	7.6	1.44	0.43
39.7	39.3	42.8	8.6	2.06	0.44
38.2	37.8	40.7	8.2	2.62	0.42
42.3	41.8	47.9	8.0	-0.44	0.47
41.8	41.4	48.4	7.0	-1.39	0.46
39.1	38.4	39.1	10.5	5.12	0.68
40.8	40.4	46.2	7.4	-0.24	0.45
42.7	42.2	48.7	7.8	-0.88	0.47
40.8	40.4	45.8	7.7	0.17	0.45
39.8	39.4	43.7	8.0	1.22	0.44
42.6	42.2	47.6	8.6	0.14	0.47
38.8	36.7	44.3	6.2	-0.38	2.05
41.0	40.6	43.5	9.6	2.64	0.45
40.3	39.8	44.2	8.1	1.14	0.44
40.9	40.4	44.4	8.9	1.67	0.45
36.9	36.5	38.8	8.0	3.17	0.41
40.9	40.4	43.6	9.4	2.45	0.45
40.9	40.5	46.7	7.2	-0.61	0.45
38.6	38.2	41.4	8.2	2.37	0.43
36.2	35.8	37.7	7.9	3.59	0.40
38.5	38.1	40.8	8.5	2.86	0.42
40.5	40.1	44.4	8.4	1.28	0.45
37.0	36.6	37.5	9.2	4.66	0.41
38.6	38.1	41.4	8.1	2.29	0.42
38.3	37.9	39.2	9.5	4.22	0.42
38.8	38.5	41.4	8.4	2.45	0.24
37.9	37.5	40.0	8.4	3.03	0.42
