Sim(Core)	Lobe	B Band	LogM 	R_Index	LogRF
48.8	47.9	57.5	8.6	-1.18	0.84
41.6	41.2	49.9	8.4	-0.69	0.46
33.3	33.0	41.9	7.6	-0.99	0.37
31.6	31.3	36.4	8.2	2.80	0.35
37.2	35.7	42.5	8.4	2.30	1.42
36.8	36.4	42.9	7.7	1.54	0.41
38.6	38.4	45.8	7.6	0.41	0.21
33.1	32.7	38.7	8.1	2.01	0.36
40.0	39.5	46.2	9.4	1.42	0.44
38.8	38.4	46.2	9.2	0.19	0.43
44.0	43.5	52.5	8.9	-0.83	0.48
38.4	38.0	44.1	8.9	1.95	0.42
38.4	38.0	42.5	8.2	3.45	0.42
51.7	50.7	58.6	7.8	0.72	1.02
39.7	39.3	46.3	8.5	0.99	0.44
41.4	40.9	49.2	6.8	-0.19	0.46
33.1	32.7	39.1	9.2	1.57	0.36
42.2	41.2	50.5	8.9	-0.62	1.09
41.9	41.8	47.9	10.3	1.69	0.15
34.1	33.8	40.3	8.7	1.43	0.38
36.2	35.8	41.2	7.8	2.57	0.40
42.9	42.5	47.3	9.9	3.25	0.47
43.0	42.5	47.3	8.4	3.30	0.47
42.9	42.0	46.4	8.8	4.08	0.95
42.8	42.4	50.0	7.9	0.41	0.47
42.2	41.7	48.0	8.4	1.78	0.46
35.5	35.1	39.8	7.3	3.34	0.39
46.0	45.5	54.3	8.7	-0.66	0.51
38.5	38.1	43.5	7.5	2.68	0.42
34.1	33.8	39.2	8.5	2.55	0.38
41.1	40.7	47.3	8.1	1.39	0.45
31.1	30.7	38.3	8.7	0.43	0.34
42.9	42.4	48.4	8.4	2.08	0.47
42.2	41.7	47.1	8.8	2.68	0.46
38.0	37.6	43.5	7.7	2.09	0.42
52.2	51.6	57.9	9.0	1.93	0.57
31.6	31.3	38.4	7.1	0.86	0.35
38.0	37.6	43.9	8.8	1.79	0.42
32.2	31.8	35.6	8.8	4.23	0.35
36.8	36.4	41.8	8.2	2.65	0.41
36.6	35.9	43.2	6.4	0.99	0.68
49.0	48.5	57.0	9.2	-0.37	0.54
33.2	32.9	38.2	8.7	2.60	0.37
43.8	43.4	49.6	7.5	1.85	0.48
51.5	47.2	57.6	8.4	1.50	4.24
38.4	38.0	43.6	7.5	2.46	0.42
38.8	38.4	41.6	7.9	4.84	0.43
41.1	40.7	48.4	7.9	0.34	0.45
41.2	40.7	50.2	7.9	-1.34	0.45
40.1	39.6	47.9	8.0	-0.19	0.44
34.9	34.5	43.2	8.6	-0.71	0.38
42.1	41.6	48.7	7.0	0.99	0.46
40.0	39.6	47.4	8.3	0.27	0.44
47.1	46.6	54.6	7.7	0.11	0.52
51.8	51.2	58.1	8.9	1.32	0.57
46.0	45.4	52.7	8.2	0.85	0.51
41.0	40.5	45.6	8.5	2.93	0.45
43.0	42.5	50.0	7.9	0.59	0.47
43.6	43.1	48.4	7.8	2.76	0.48
45.3	44.8	52.0	8.9	0.86	0.50
37.8	37.4	43.7	8.0	1.76	0.42
38.5	38.0	44.0	7.4	2.04	0.42
44.7	44.2	50.8	7.3	1.58	0.49
42.4	41.9	48.7	8.2	1.36	0.47
38.7	38.3	44.3	8.3	2.07	0.43
24.4	24.2	26.4	9.0	5.66	0.27
41.2	40.8	45.1	9.2	3.71	0.45
51.2	50.6	57.9	6.9	0.91	0.56
40.2	39.8	48.2	7.1	-0.37	0.44
33.7	33.3	40.6	7.9	0.76	0.37
48.5	48.0	55.4	9.1	0.74	0.53
40.5	40.1	45.5	7.8	2.65	0.45
33.9	33.6	40.8	8.0	0.77	0.37
25.8	25.5	27.5	7.9	5.95	0.28
44.8	44.3	52.6	8.6	-0.13	0.49
44.9	44.7	51.7	9.2	0.89	0.21
38.3	37.8	44.4	8.1	1.50	0.42
25.2	24.9	30.9	8.9	1.94	0.28
42.7	41.8	50.0	8.2	0.32	0.83
42.7	42.2	49.5	8.0	0.72	0.47
37.9	37.5	46.6	8.1	-1.12	0.42
44.9	44.4	51.1	8.3	1.47	0.49
34.9	34.5	39.7	8.4	2.73	0.38
37.3	36.9	46.2	8.3	-1.27	0.41
43.4	42.9	47.1	8.1	3.93	0.48
33.0	32.7	41.6	8.0	-0.93	0.36
34.1	28.9	38.9	9.0	2.77	5.18
36.8	36.4	43.3	7.1	1.13	0.41
29.7	29.4	35.4	8.2	1.94	0.33
43.4	42.9	49.2	7.9	1.74	0.48
30.3	30.0	37.1	8.0	0.83	0.33
32.8	32.4	37.4	7.6	3.01	0.36
37.8	37.4	47.0	8.8	-1.55	0.42
52.9	50.7	60.4	8.8	0.13	2.24
42.1	41.6	50.0	10.1	-0.26	0.46
37.6	37.2	41.9	8.4	3.38	0.41
41.6	41.2	50.7	7.7	-1.48	0.46
38.2	37.7	42.8	7.7	2.93	0.42
38.8	38.3	46.7	7.5	-0.34	0.43
45.1	44.6	50.9	8.6	1.81	0.50
33.9	33.6	38.8	8.3	2.79	0.37
36.8	36.4	41.3	7.5	3.13	0.41
39.6	39.2	46.2	6.5	1.01	0.44
36.8	36.4	42.1	8.7	2.31	0.41
38.8	38.4	45.5	7.6	0.92	0.43
21.2	20.9	21.8	7.2	7.02	0.23
44.4	43.9	52.6	8.1	-0.63	0.49
36.4	36.0	40.7	7.8	3.34	0.40
34.9	34.6	42.0	8.7	0.54	0.38
38.5	38.1	48.4	8.8	-2.25	0.42
45.6	45.1	53.6	8.4	-0.36	0.50
42.0	41.5	48.0	7.9	1.63	0.46
30.7	30.4	34.0	7.7	4.31	0.34
32.3	31.9	36.7	7.3	3.17	0.36
39.6	39.2	47.0	8.3	0.29	0.44
42.2	41.7	49.0	7.6	0.80	0.46
42.5	42.0	47.4	8.3	2.62	0.47
42.0	41.5	47.2	8.0	2.41	0.46
46.8	46.2	52.7	8.2	1.71	0.51
39.8	39.1	47.6	7.4	-0.16	0.67
44.1	43.6	50.2	9.2	1.47	0.49
39.6	39.2	43.4	8.4	3.86	0.44
42.3	41.9	48.3	8.3	1.70	0.47
38.9	38.5	45.4	7.9	1.15	0.43
35.2	34.8	41.6	6.0	1.16	0.39
39.6	39.1	44.9	7.7	2.30	0.44
35.3	34.9	39.7	7.7	3.18	0.39
36.0	35.7	40.4	8.1	3.23	0.40
39.7	39.3	43.4	9.7	3.92	0.44
29.9	29.6	34.6	7.6	2.91	0.33
38.3	37.9	44.0	8.6	1.86	0.42
35.4	35.0	41.7	8.2	1.32	0.39
42.9	42.4	45.5	8.0	5.00	0.47
32.0	31.7	36.3	7.0	3.35	0.35
49.9	48.4	58.4	10.5	-0.93	1.45
39.9	39.5	45.3	7.4	2.22	0.44
37.0	36.6	43.0	7.8	1.60	0.41
44.5	44.0	49.6	7.7	2.58	0.49
31.1	30.7	36.1	8.0	2.58	0.34
33.6	33.2	37.8	8.6	3.44	0.37
32.9	31.3	37.6	6.2	2.96	1.64
36.8	36.4	39.8	9.6	4.57	0.40
31.9	31.5	39.6	8.1	-0.11	0.35
45.7	45.2	51.3	8.9	1.98	0.50
46.7	46.2	52.9	8.0	1.47	0.51
38.6	38.1	44.0	9.4	2.22	0.42
48.8	48.3	53.4	7.2	3.02	0.54
33.2	32.8	37.1	8.2	3.63	0.36
44.6	44.1	52.4	7.9	-0.19	0.49
40.3	39.8	45.2	8.5	2.65	0.44
46.5	46.0	53.8	8.4	0.35	0.51
38.6	38.2	44.2	9.2	2.04	0.43
34.5	34.1	39.4	8.1	2.75	0.38
38.2	37.7	43.6	9.5	2.20	0.42
33.2	32.8	39.0	8.4	1.77	0.37
39.8	39.3	44.5	8.4	2.91	0.44
