Sim(Core)	Lobe	B Band	LogM 	R_Index	LogRF
34.3	34.0	37.2	7.3	4.69	0.38
40.9	40.4	44.6	8.7	3.84	0.45
32.1	31.8	38.4	7.5	1.37	0.35
38.2	37.8	44.0	8.5	1.82	0.42
34.9	34.5	36.2	8.1	6.29	0.38
33.9	33.6	36.6	8.7	4.94	0.37
28.7	28.4	30.1	8.4	6.24	0.32
47.3	46.7	55.3	8.8	-0.47	0.52
24.0	23.7	28.3	7.7	3.28	0.26
29.8	29.5	32.0	9.0	5.50	0.33
25.9	25.6	30.6	7.1	2.89	0.29
38.2	37.7	41.1	8.8	4.63	0.42
37.5	37.1	45.4	8.8	-0.26	0.41
32.5	32.2	30.9	8.2	9.25	0.36
36.8	36.1	43.9	6.4	0.54	0.70
38.8	38.4	45.1	9.2	1.39	0.43
34.1	33.8	38.1	8.7	3.66	0.38
39.4	39.0	44.7	7.5	2.38	0.43
35.0	31.9	40.4	8.4	2.19	3.07
25.5	25.2	27.0	7.5	6.08	0.28
39.1	38.7	46.0	7.9	0.72	0.43
33.9	33.5	37.9	7.9	3.62	0.37
40.2	39.8	46.1	7.9	1.77	0.44
33.5	33.1	35.6	8.0	5.45	0.37
32.6	32.2	37.0	8.6	3.22	0.36
35.6	35.2	39.6	7.0	3.58	0.39
39.9	39.5	43.7	8.3	3.85	0.44
30.5	30.2	31.6	7.7	6.52	0.34
29.8	29.5	34.7	8.9	2.72	0.33
29.0	28.7	32.4	8.2	4.26	0.32
37.3	36.9	43.8	8.5	1.09	0.41
32.7	32.4	38.0	7.9	2.31	0.36
37.7	37.3	40.5	7.8	4.84	0.42
30.0	29.6	33.6	8.9	3.94	0.33
32.4	32.0	35.4	8.0	4.60	0.36
31.9	31.5	37.7	7.4	1.84	0.35
35.8	35.4	41.4	7.3	1.96	0.39
34.1	33.7	34.8	8.2	6.95	0.38
22.6	22.4	21.3	8.3	8.91	0.25
36.6	36.2	39.7	9.0	4.52	0.40
25.5	25.2	25.5	9.2	7.58	0.28
35.2	34.8	42.2	6.9	0.57	0.39
34.1	33.7	37.1	7.1	4.64	0.38
45.9	45.4	54.8	7.9	-1.34	0.50
41.6	41.1	46.6	9.1	2.54	0.46
24.5	24.2	26.8	7.8	5.28	0.27
35.3	34.9	40.0	8.0	2.88	0.39
43.1	42.7	51.0	7.9	-0.28	0.47
40.0	39.6	43.8	8.6	3.81	0.44
32.5	32.1	36.4	9.2	3.72	0.36
31.4	31.1	35.6	8.1	3.45	0.35
32.5	32.1	34.3	8.9	5.78	0.44
31.4	31.4	35.5	8.2	3.56	0.03
36.3	35.9	39.7	8.0	4.22	0.40
39.2	38.7	43.8	8.1	2.99	0.43
44.3	43.8	49.3	8.3	2.57	0.49
44.1	44.0	49.2	8.4	2.49	0.10
39.4	39.0	45.4	8.3	1.69	0.43
32.2	31.8	34.6	8.1	5.24	0.35
32.5	32.1	34.5	8.0	5.60	0.36
41.1	35.4	47.8	9.0	0.85	5.67
27.6	27.3	33.0	7.1	2.30	0.30
29.0	28.7	31.7	8.2	4.89	0.32
28.4	28.1	29.7	7.9	6.25	0.31
41.1	40.6	49.0	8.0	-0.34	0.45
44.0	43.5	51.0	7.6	0.61	0.48
42.8	42.3	52.1	8.8	-1.67	0.47
42.1	40.7	47.8	8.8	1.95	1.48
38.4	38.0	41.3	10.1	4.71	0.42
21.2	21.0	22.8	8.4	6.10	0.23
36.5	36.1	41.6	7.7	2.45	0.40
34.0	33.7	37.6	7.7	4.03	0.37
28.1	27.8	30.3	7.5	5.47	0.31
34.7	34.4	39.5	8.6	2.83	0.38
28.5	28.2	33.0	8.3	3.21	0.31
35.3	34.9	39.5	7.5	3.37	0.39
34.3	34.0	42.0	6.5	-0.10	0.38
38.7	38.3	44.7	8.7	1.62	0.43
40.3	39.8	43.5	7.6	4.33	0.44
41.6	41.2	49.3	7.2	-0.02	0.46
34.2	33.9	36.9	8.1	5.00	0.38
29.8	29.5	32.3	7.8	5.14	0.33
39.7	39.3	42.9	8.7	4.43	0.44
34.8	34.4	38.3	8.8	4.17	0.38
34.0	33.6	38.3	8.4	3.31	0.37
37.7	37.3	42.3	7.9	2.99	0.41
35.1	34.7	39.8	7.7	2.93	0.39
41.2	40.7	50.1	7.3	-1.31	0.54
20.1	19.9	19.7	8.3	8.07	0.22
26.4	26.1	27.5	7.6	6.49	0.29
34.6	34.2	37.0	8.3	5.14	0.38
29.1	28.7	31.0	8.0	5.67	0.32
29.2	28.9	31.9	8.2	4.91	0.32
37.2	36.8	38.7	7.4	6.16	0.48
35.4	35.0	37.4	9.2	5.59	0.39
30.2	29.9	34.9	8.4	2.95	0.33
37.3	36.9	42.9	8.3	2.07	0.41
25.0	24.7	25.1	7.9	7.48	0.27
36.0	35.7	43.3	6.0	0.41	0.40
35.2	34.8	42.1	7.7	0.75	0.39
23.4	23.1	23.7	7.7	7.33	0.26
35.5	35.1	37.1	8.1	5.98	0.39
35.3	34.9	38.2	9.7	4.72	0.39
31.7	31.4	34.3	7.6	5.03	0.35
43.9	43.5	50.1	8.6	1.50	0.48
36.2	35.8	38.5	8.2	5.32	0.40
34.2	33.8	35.2	8.0	6.68	0.38
28.0	27.6	30.9	7.0	4.63	0.31
31.1	31.0	30.6	10.5	8.05	0.12
32.1	31.8	35.3	7.4	4.44	0.35
31.6	31.3	33.8	7.8	5.39	0.35
30.7	30.4	33.2	7.7	5.17	0.34
33.0	32.7	36.4	8.0	4.25	0.36
25.0	24.7	24.3	8.6	8.31	0.27
27.2	25.9	33.0	6.2	1.79	1.23
36.8	36.4	42.5	9.6	1.94	0.41
34.0	33.6	36.3	8.1	5.23	0.37
33.4	33.0	37.1	8.9	3.96	0.37
36.7	36.3	44.3	8.0	-0.04	0.40
37.7	37.3	41.0	9.4	4.29	0.41
28.1	27.8	32.3	7.2	3.46	0.31
36.5	36.1	39.5	8.2	4.67	0.40
23.4	23.1	23.7	7.9	7.29	0.26
34.0	33.6	37.2	8.5	4.38	0.37
40.8	40.4	44.9	8.4	3.56	0.45
30.1	29.7	31.3	9.2	6.40	0.33
33.9	33.5	36.8	8.1	4.64	0.37
33.2	32.9	39.3	9.5	1.57	0.37
33.2	32.9	36.8	8.4	4.02	0.37
37.0	36.6	41.5	8.4	3.12	0.41
